seller_uuid,seller_name,profile_photo_url,seller_profile_url,seller_rating,total_reviews,contact_methods,email_address,phone_number,physical_address,verification_status,seller_status,enforcement_status,map_compliance_status,associated_listings,date_added,last_updated,blacklisted,counterfeiter,priority_seller,seller_note,seller_id,admin_priority_seller,known_counterfeiter,seller_admin_stage,seller_investigation,seller_stage,seller_state
0340c9fb-bb41-4f5b-8dad-9dec16e2aec8,Esquared Outlets,,https://www.amazon.com/s?ie=UTF8&marketplaceID=ATVPDKIKX0DER&me=A2LD697S8ZZ8Z2,4.90,151,[],,,"10 Chiswick Dr, Jackson, NJ, 08527, US",Unverified,New,None,Compliant,0,2025-07-18 19:35:35.275,2025-07-18 19:35:35.176,false,false,false,,A2LD697S8ZZ8Z2,false,false,NA,NotStarted,NA,
03aee330-4c8d-4934-b9d9-db73f955d52b,Mammoth Mart,,https://www.amazon.com/s?ie=UTF8&marketplaceID=ATVPDKIKX0DER&me=A20FLYA0IW2L9O,2.30,36,[],,,"26442 Santa Rosa Ave, LAGUNA HILLS, CA, 92653, US",Unverified,New,None,Compliant,0,2025-08-04 13:44:27.194,2025-08-04 13:44:27.105,false,false,false,,A20FLYA0IW2L9O,false,false,NA,NotStarted,NA,Active
041beaf7-e82f-4b00-b842-6a3bb7111f63,FeminineTouch,,https://www.amazon.com/s?ie=UTF8&marketplaceID=ATVPDKIKX0DER&me=A7AMRWK16BGMH,4.70,52,"[""732-684-8484""]",,732-684-8484,"1454 Heathwood Ave, Lakewood, NJ, 08701, US",Unverified,New,None,Compliant,0,2025-08-04 13:27:46.488,2025-08-04 13:27:46.394,false,false,false,,A7AMRWK16BGMH,false,false,NA,NotStarted,NA,Active
04c98e55-e4ac-4919-ab30-8c3f4c28d671,FAFA NY CORP,,https://www.amazon.com/s?ie=UTF8&marketplaceID=ATVPDKIKX0DER&me=A1QV2PZFML7YZH,5.00,7,[],,,"1998 Commerce st, #201, Yorktown Heights, NY, 10598, US",Unverified,New,None,Compliant,0,2025-07-18 19:35:13.546,2025-07-18 19:35:13.448,false,false,false,,A1QV2PZFML7YZH,false,false,NA,NotStarted,NA,
0604a7cf-d387-4087-b5fe-f1f385217420,Wireless Cloud,https://m.media-amazon.com/images/I/11RqM9HA3jL.jpg,https://www.amazon.com/s?ie=UTF8&marketplaceID=ATVPDKIKX0DER&me=A1HLJSRGXFK737,4.60,154,[],,,"PO Box 115, Harriman, NY, 10926, US",Unverified,New,None,Compliant,0,2025-07-18 19:34:44.244,2025-07-18 19:34:44.15,false,false,false,,A1HLJSRGXFK737,false,false,NA,NotStarted,NA,
061d5654-8380-407d-9dd1-4baac4bbbdd7,Midwest Estore,,https://www.amazon.com/s?ie=UTF8&marketplaceID=ATVPDKIKX0DER&me=AM01HGKD40IY8,4.70,147,"[""1-866-216-1072""]",,1-866-216-1072,"4289 S. HILLCREST AVE., SPRINGFIELD, MO, 65810, US",Unverified,New,None,Compliant,0,2025-07-18 19:35:05.998,2025-07-18 19:35:05.9,false,false,false,,AM01HGKD40IY8,false,false,NA,NotStarted,NA,
0895b4c8-c800-4db7-b8a3-588719c9c7ba,Sysmel,,https://www.amazon.com/s?ie=UTF8&marketplaceID=ATVPDKIKX0DER&me=A2YYD0BY5061FQ,3.70,20,[],,,"1603 200th Street,, BAYSIDE, NY, 11360, US",Unverified,New,None,Compliant,0,2025-07-18 19:34:57.949,2025-07-18 19:34:57.862,false,false,false,,A2YYD0BY5061FQ,false,false,NA,NotStarted,NA,
0905fdad-3409-4c2b-9b9f-2b31dca629de,Click N Order (Serial Number Recorded),https://m.media-amazon.com/images/I/11YaFYafSTL.jpg,https://www.amazon.com/s?ie=UTF8&marketplaceID=ATVPDKIKX0DER&me=A23GJYGSSUMDAX,4.00,8,[],,,"7151 O'Kelly Chapel Road, STE 237, CARY, NC, 27519, US",Unverified,New,None,Compliant,0,2025-07-16 19:47:47.835,2025-07-16 19:47:47.732,false,false,false,,A23GJYGSSUMDAX,false,false,NA,NotStarted,NA,
0984ce16-d3a7-4245-9382-068baf38afd8,Fix N Plug,,,,,"[""530-789-1700""]",,530-789-1700,"1120 HALL CT, MARYSVILLE, CA, 95901-3507, US",Unverified,New,None,Compliant,0,2025-07-18 19:35:27.47,2025-07-18 19:35:27.375,false,false,false,,A2NBVGK6C0HCUA,false,false,NA,NotStarted,NA,
098aaa39-a8c9-47d5-9492-20e1ddcb9bfc,Jon’s Bargains,,https://www.amazon.com/s?ie=UTF8&marketplaceID=ATVPDKIKX0DER&me=AM23M8JZZKF0F,4.80,46,[],,,"3510 Rock Rose Ln, LA GRANGE, KY, 40031, US",Unverified,New,None,Compliant,0,2025-07-16 19:49:48.867,2025-07-16 19:49:48.776,false,false,false,,AM23M8JZZKF0F,false,false,NA,NotStarted,NA,
